Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State/Province,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Quarter,Month,Year,Division,Forecast_Revenue,Pipeline_Stage,Probability_%,Renewal_Probability,Variance,Growth_Rate_%,Scenario,Forecast_Status
1,US-2023-103800,2023-03-01,01-07-2023,Standard Class,DP-13000,Darren Powers,Consumer,United States,Houston,Texas,77095,Central,OFF-PA-10000174,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.448,2,0.2,5.5512,1.0,January,2023.0,Technology Licensing,16.55,Negotiation,60,85,-0.1,0.0,Worst Case,Below Forecast
2,US-2023-112326,2023-04-01,01-08-2023,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-BI-10004094,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,3.54,2,0.8,-5.487,1.0,January,2023.0,Professional Services,3.7,Closed Won,60,65,-0.16,-78.48,Worst Case,Below Forecast
3,US-2023-112326,2023-04-01,01-08-2023,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-LA-10003223,Office Supplies,Labels,Avery 508,11.784,3,0.2,4.2717,1.0,January,2023.0,Technology Licensing,12.38,Negotiation,75,91,-0.6,232.88,Worst Case,Below Forecast
4,US-2023-112326,2023-04-01,01-08-2023,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,272.736,3,0.2,-64.7748,1.0,January,2023.0,Technology Licensing,271.31,Lead,60,91,1.43,2214.46,Best Case,Above Forecast
5,US-2023-141817,2023-05-01,01-12-2023,Standard Class,MB-18085,Mick Brown,Consumer,United States,Philadelphia,Pennsylvania,19143,East,OFF-AR-10003478,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",19.536,3,0.2,4.884,1.0,January,2023.0,Professional Services,21.86,Lead,40,71,-2.32,-92.84,Best Case,Below Forecast
6,US-2023-167199,2023-06-01,01-10-2023,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2573.82,9,0.0,746.4078,1.0,January,2023.0,Professional Services,2991.87,Negotiation,75,65,-418.05,13074.75,Best Case,Below Forecast
7,US-2023-167199,2023-06-01,01-10-2023,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-AR-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,5.48,2,0.0,1.4796,1.0,January,2023.0,Technology Licensing,6.48,Negotiation,60,72,-1.0,-99.79,Expected Case,Below Forecast
8,US-2023-106054,2023-06-01,01-07-2023,First Class,JO-15145,Jack O'Briant,Corporate,United States,Athens,Georgia,30605,South,OFF-AR-10002399,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",12.78,3,0.0,5.2398,1.0,January,2023.0,Managed Services,14.59,Proposal,40,93,-1.81,133.21,Expected Case,Below Forecast
9,US-2023-167199,2023-06-01,01-10-2023,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,609.98,2,0.0,274.491,1.0,January,2023.0,Technology Licensing,704.63,Negotiation,90,82,-94.65,4672.93,Expected Case,Below Forecast
10,US-2023-167199,2023-06-01,01-10-2023,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-FA-10001883,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",31.12,4,0.0,0.3112,1.0,January,2023.0,Technology Licensing,33.15,Negotiation,90,76,-2.03,-94.9,Best Case,Below Forecast
